"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","49878","Rapid River","MI","Escanaba, MI","""Escanaba, MI""",,6.16509333522606,,,,94700,0.637619553666312,2.15749730312837,,,0.202061855670103,0,98
"Zip","49879","Republic","MI","Marquette, MI","""Marquette, MI""",,4.32465043651075,,,,87900,-0.340136054421769,-3.82932166301969,,,0.0677966101694915,0,84
"Zip","49885","Skandia","MI","Marquette, MI","""Marquette, MI""",,2.48704663212435,,,,127600,0.47244094488189,-5.76070901033973,,,0.135714285714286,0.0263157894736842,84
"Zip","50003","Adel","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,8.15245936546242,100,,,221100,0.683060109289617,6.86321894635089,0.0298733604703754,,0.0943975441289332,0.00813008130081301,76
"Zip","50009","Altoona","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.73631911420257,100,,,190700,-0.313643491897543,0.580168776371308,0.0386680650235973,,0.0568551969203435,0.0208333333333333,64.5
"Zip","50010","Ames","IA","Ames, IA","""Ames, IA""",,7.88558449854496,100,,,173000,-0.0577700751010976,-0.68886337543054,0.0377803468208093,,0.084535487593768,0,76
"Zip","50014","Ames","IA","Ames, IA","""Ames, IA""",,8.50876570374051,100,,,152200,1.46666666666667,4.82093663911846,0.0287319316688568,,0.100361663652803,0.0045045045045045,74
"Zip","50021","Ankeny","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.24962736886933,100,,,201700,-0.0495540138751239,1.45875251509054,0.039048091224591,,0.0642957604982921,0.009375,73.5
"Zip","50023","Ankeny","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.51075306977074,100,,,215000,-0.232018561484919,1.03383458646617,0.0409395348837209,,0.0642011834319527,0.00691244239631336,67
"Zip","50028","Baxter","IA","Newton, IA","""Newton, IA""",,0.638796224004543,,,,137700,-0.145032632342277,1.47383935151069,,,0.160493827160494,0,70.5
